HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
,0,0,,,,River Island Villa,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An",,,0,,0,NA,0,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d21503065-Reviews-River_Island_Villa-Hoi_An_Quang_Nam_Province.html
"253 Cua Dai Street, Hội An Việt Nam",7,71,,,,Guest house - Bon bon,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Guest house - Bon bon có điểm du lịch nổi tiếng nào?, ,Gần Guest house - Bon bon có nhà hàng nào?, ",,0,,0,NA,42,,2,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d9459488-Reviews-Guest_house_Bon_bon-Hoi_An_Quang_Nam_Province.html
"50 Nguyễn Phúc Tần, Hội An Việt Nam",169,100,,Tiếng Việt,,Nhà nghỉ Thành Phát,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Nhà nghỉ Thành Phát có điểm du lịch nổi tiếng nào?, ,Nhà nghỉ Thành Phát có những tiện nghi tại cơ sở kinh doanh gì?, ,Nhà nghỉ Thành Phát có những tiện nghi phòng gì?, ,Nhà nghỉ Thành Phát có những lựa chọn đồ ăn & đồ uống gì?, ,Nhà nghỉ Thành Phát có chỗ đỗ xe không?, ,Gần Nhà nghỉ Thành Phát có nhà hàng nào?, ,Nhà nghỉ Thành Phát có dịch vụ đưa đón tại sân bay không?, ,Nhà nghỉ Thành Phát có dịch vụ dọn phòng không?, ",,0,,0,NA,285,,8,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d10351506-Reviews-Thanh_Phat_Homestay-Hoi_An_Quang_Nam_Province.html
,0,0,,,,Khách sạn Phố Xanh,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An",,,0,,0,NA,0,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d23359566-Reviews-Khach_s_n_Ph_Xanh-Hoi_An_Quang_Nam_Province.html
"83 Nguyen Duy Hieu, Hội An Việt Nam",6,66,,,,Riverside Bamboo Villa,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Riverside Bamboo Villa có điểm du lịch nổi tiếng nào?, ,Gần Riverside Bamboo Villa có nhà hàng nào?, ",,0,,0,NA,30,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d23521943-Reviews-Riverside_Bamboo_Villa-Hoi_An_Quang_Nam_Province.html
"7&9 Hàng Vôi Hoàn Kiếm, Hà Nội 100000 Việt Nam",51,100,173,Tiếng Việt,,Alisa Hotel & Spa,3.431.818 ₫,704.545 ₫,"704.545 ₫, - ,3.431.818 ₫","Gần Alisa Hotel & Spa có điểm du lịch nổi tiếng nào?, ,Alisa Hotel & Spa có những tiện nghi tại cơ sở kinh doanh gì?, ,Alisa Hotel & Spa có những tiện nghi phòng gì?, ,Alisa Hotel & Spa có những lựa chọn đồ ăn & đồ uống gì?, ,Alisa Hotel & Spa có chỗ đỗ xe không?, ,Gần Alisa Hotel & Spa có nhà hàng nào?, ,Tôi có thể tập thể dục tại Alisa Hotel & Spa không?, ,Alisa Hotel & Spa có dịch vụ đưa đón tại sân bay không?, ,Alisa Hotel & Spa có dịch vụ đưa đón tại sân bay không?, ,Alisa Hotel & Spa có nằm gần trung tâm thành phố không?, ,Alisa Hotel & Spa có dịch vụ dọn phòng không?, ",37,712 đánh giá,Số 49 trong 704 khách sạn tại Hà Nội,50,"3,0",244,Tuyệt vời,30,"Lãng mạn,Thời thượng",,17,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d14961093-Reviews-Alisa_Hotel_Spa-Hanoi.html
"16 Ngõ Trung Yên, Phố Đinh Liệt, Q. Hoàn Kiếm, Hà Nội 10000 Việt Nam",204,100,258,"Tiếng Việt, Tiếng Anh",,Khách sạn Skyline,1.136.364 ₫,568.182 ₫,"568.182 ₫, - ,1.136.364 ₫","Gần Khách sạn Skyline có điểm du lịch nổi tiếng nào?, ,Khách sạn Skyline có những tiện nghi tại cơ sở kinh doanh gì?, ,Khách sạn Skyline có những tiện nghi phòng gì?, ,Khách sạn Skyline có những lựa chọn đồ ăn & đồ uống gì?, ,Gần Khách sạn Skyline có nhà hàng nào?, ,Khách sạn Skyline có dịch vụ đưa đón tại sân bay không?, ,Khách sạn Skyline có nằm gần trung tâm thành phố không?, ,Khách sạn Skyline có dịch vụ dọn phòng không?, ,Nhân viên tại Khách sạn Skyline nói ngôn ngữ gì?, ,Có di tích lịch sử nào gần Khách sạn Skyline không?, ",7,709 đánh giá,Số 89 trong 704 khách sạn tại Hà Nội,50,"3,0",709,Tuyệt vời,12,"Hiện đại,Yên tĩnh",,133,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d7619752-Reviews-Skyline_Hotel-Hanoi.html
"362/15 Cua Dai Street, Hội An 650000 Việt Nam",11,71,,,,Serena Villa,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Serena Villa có điểm du lịch nổi tiếng nào?, ,Gần Serena Villa có nhà hàng nào?, ",,0,,0,NA,42,,Hội An,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d21000689-Reviews-Serena_Villa-Hoi_An_Quang_Nam_Province.html
"Thanh Tam Dong, Cam Thanh, Hội An Việt Nam",0,71,,,,Trau Cau Homestay,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Trau Cau Homestay có nhà hàng nào?, ",,0,,0,NA,20,,3,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d6528911-Reviews-Trau_Cau_Homestay-Hoi_An_Quang_Nam_Province.html
"36-37 Truong Chi Cuong, Tam Ky City, Hội An Việt Nam",0,0,,Tiếng Việt,,Vinh Khanh Hotel,Hội An,Việt Nam,"Việt Nam,Tỉnh Quảng Nam,Hội An","Gần Vinh Khanh Hotel có điểm du lịch nổi tiếng nào?, ,Vinh Khanh Hotel có những tiện nghi tại cơ sở kinh doanh gì?, ,Vinh Khanh Hotel có những tiện nghi phòng gì?, ,Vinh Khanh Hotel có những lựa chọn đồ ăn & đồ uống gì?, ,Vinh Khanh Hotel có chỗ đỗ xe không?, ,Gần Vinh Khanh Hotel có nhà hàng nào?, ,Vinh Khanh Hotel có dịch vụ đưa đón tại sân bay không?, ",,0,,0,NA,0,,20,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d3210991-Reviews-Vinh_Khanh_Hotel-Hoi_An_Quang_Nam_Province.html
